"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
39,"__amd_rocclr_fillBuffer.kd",0,0,72,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052112508,429238052122892,429238052126092,429238052129831,3200
40,"__amd_rocclr_fillBuffer.kd",0,0,74,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052142315,429238052152076,429238052155116,429238052158876,3040
41,"__amd_rocclr_fillBuffer.kd",0,0,76,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052170999,429238052180891,429238052183931,429238052187670,3040
42,"__amd_rocclr_fillBuffer.kd",0,0,78,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052201286,429238052211259,429238052214459,429238052218549,3200
43,"__amd_rocclr_fillBuffer.kd",0,0,80,49476,49503,512,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052232074,429238052242087,429238052245287,429238052249037,3200
44,"__amd_rocclr_fillBuffer.kd",0,0,82,49476,49503,2304,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052261400,429238052271172,429238052274212,429238052277971,3040
45,"__amd_rocclr_fillBuffer.kd",0,0,84,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052287870,429238052297552,429238052300592,429238052304522,3040
46,"__amd_rocclr_fillBuffer.kd",0,0,86,49476,49503,6656,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052317466,429238052327700,429238052331380,429238052335209,3680
47,"__amd_rocclr_fillBuffer.kd",0,0,88,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052347222,429238052356844,429238052360204,429238052363944,3360
48,"k_reset_hindex.kd",0,0,94,49476,49503,2560,256,0,0,8,24,0,0x0,0x7efcbf7d07c0,429238054045192,429238054061976,429238054069336,429238054073776,7360
